iter,objective,truck,lateness,energy,drone_bonus,peak_kW,energy_kWh
1,11.9257540520513,0,0,13.4257540520513,-1.5,3,33.5643851301282
2,38873.0005238768,299.752749931512,0,7.73522631546745,-1,3,19.3380657886686
3,72893.3374969103,325.218663895499,0,7.2517795755038,-0.9,3,18.1294489387595
4,109276.170781231,324.174271288759,0,7.27160639977112,-0.95,3,18.1790159994278
5,154901.395255889,299.752749931512,0,7.73522631546745,-1,3,19.3380657886686
6,173829.575635631,341.420762344452,0,6.94419777471734,-0.9,3,17.3604944367933
7,208542.647967736,341.420762344452,0,6.94419777471734,-0.9,3,17.3604944367933
8,254708.298776654,324.174271288759,0,7.27160639977112,-0.95,3,18.1790159994278
9,277986.960824865,341.420762344452,0,6.94419777471734,-0.9,3,17.3604944367933
10,304062.445134444,351.555784715691,0,6.75179378200131,-0.85,3,16.8794844550033
11,386960.566420755,299.752749931512,0,7.73522631546745,-1,3,19.3380657886686
12,400140.426772076,324.174271288759,0,7.27160639977112,-0.95,3,18.1790159994278
13,405335.417615635,351.555784715691,0,6.75179378200131,-0.85,3,16.8794844550033
14,451591.91488314,341.420762344452,0,6.94419777471734,-0.9,3,17.3604944367933
15,472844.023828339,351.555784715691,0,6.75179378200131,-0.85,3,16.8794844550033
