time_h,Pdepot_kW,tariff_usd_per_kWh
0,5,0.4
0.5,5,0.4
1,5,0.4
1.5,5,0.4
2,5,0.4
2.5,5,0.4
3,5,0.4
3.5,5,0.4
4,5,0.4
4.5,5,0.4
5,5,0.4
5.5,5,0.4
6,5,0.6
6.5,5,0.6
7,5,0.6
7.5,1.48539257493797,0.6
8,0,0.6
8.5,0,0.6
9,0,0.6
9.5,0,0.6
10,0,0.6
10.5,0,0.6
11,0,0.6
11.5,0,0.6
12,0,0.6
12.5,0,0.6
13,0,0.6
13.5,0,0.6
14,0,0.6
14.5,0,0.6
15,0,0.6
15.5,0,0.6
16,0,0.6
16.5,0,0.6
17,0,0.6
17.5,0,0.6
18,5,0.4
18.5,5,0.4
19,5,0.4
19.5,5,0.4
20,5,0.4
20.5,5,0.4
21,5,0.4
21.5,5,0.4
22,5,0.4
22.5,5,0.4
23,5,0.4
23.5,5,0.4
